"Value","Clicks Forwarded","Clicks Untracked","Clicks Blocked","Paid Commissions","Confirmed Commissions","Open Commissions","Delayed Commissions","Rejected Commissions","Total Commission"
"Blablacar DE","154","0","0","0","0","11","0","0","4.88"
"Carpatree.com PL","350","0","0","0","0","6","0","0","18.14"
"PULL and BEAR FR","162","0","0","0","0","2","0","0","1.52"
"PULL and BEAR NL","50","0","4","0","0","2","0","0","2.89"
"Pandora","8","0","4","0","0","0","0","0","0.0"
"Pandora Germany","3","0","0","0","0","0","0","0","0.0"
"Pandora Netherlands","2420","0","8","0","0","136","0","0","123.26"
"Three","4","0","0","0","0","0","0","0","0.0"
"TravelSupermarket","5","0","0","0","0","0","0","0","0.0"
"UNKNOWN","0","308","0","0","0","0","0","0","0.0"
"crutchfield.com","333","0","8","0","0","103","0","0","0.01"
"1-2-3-TV DE","1","0","1","0","0","0","0","0","0.0"
"Karen Millen US","7","0","0","0","0","0","0","0","0.0"
